FID,LSOA11CD,LSOA11NM,WD20CD,WD20NM,LAD20CD,LAD20NM
32014,E01004207,Tower Hamlets 011A,E05009317,Bethnal Green,E09000030,Tower Hamlets
32063,E01004202,Tower Hamlets 005B,E05009331,St Peter's,E09000030,Tower Hamlets
32064,E01032773,Tower Hamlets 032D,E05009323,Canary Wharf,E09000030,Tower Hamlets
32066,E01004203,Tower Hamlets 005C,E05009331,St Peter's,E09000030,Tower Hamlets
32069,E01004204,Tower Hamlets 005D,E05009331,St Peter's,E09000030,Tower Hamlets
32071,E01004208,Tower Hamlets 013C,E05009317,Bethnal Green,E09000030,Tower Hamlets
32073,E01032774,Tower Hamlets 032E,E05009323,Canary Wharf,E09000030,Tower Hamlets
32075,E01004206,Tower Hamlets 013B,E05009331,St Peter's,E09000030,Tower Hamlets
32079,E01004209,Tower Hamlets 011B,E05009317,Bethnal Green,E09000030,Tower Hamlets
32080,E01004211,Tower Hamlets 013D,E05009331,St Peter's,E09000030,Tower Hamlets
32085,E01032781,Tower Hamlets 033C,E05009323,Canary Wharf,E09000030,Tower Hamlets
32086,E01004259,Tower Hamlets 007A,E05009317,Bethnal Green,E09000030,Tower Hamlets
32087,E01004212,Tower Hamlets 011D,E05009331,St Peter's,E09000030,Tower Hamlets
32092,E01032782,Tower Hamlets 033D,E05009323,Canary Wharf,E09000030,Tower Hamlets
32093,E01004260,Tower Hamlets 007B,E05009317,Bethnal Green,E09000030,Tower Hamlets
32094,E01004262,Tower Hamlets 010B,E05009317,Bethnal Green,E09000030,Tower Hamlets
32095,E01004263,Tower Hamlets 007C,E05009317,Bethnal Green,E09000030,Tower Hamlets
32096,E01004266,Tower Hamlets 007D,E05009317,Bethnal Green,E09000030,Tower Hamlets
32097,E01032785,Tower Hamlets 010E,E05009317,Bethnal Green,E09000030,Tower Hamlets
32098,E01032786,Tower Hamlets 010F,E05009317,Bethnal Green,E09000030,Tower Hamlets
32099,E01032787,Tower Hamlets 011F,E05009317,Bethnal Green,E09000030,Tower Hamlets
32100,E01004214,Tower Hamlets 030A,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
32101,E01004215,Tower Hamlets 028A,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
32102,E01004216,Tower Hamlets 030B,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
32103,E01004221,Tower Hamlets 028D,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
32104,E01032776,Tower Hamlets 028E,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
32105,E01032777,Tower Hamlets 028F,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
32106,E01032778,Tower Hamlets 028G,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
32107,E01032779,Tower Hamlets 028H,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
32108,E01032780,Tower Hamlets 028I,E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets
32109,E01004222,Tower Hamlets 001A,E05009319,Bow East,E09000030,Tower Hamlets
32110,E01004223,Tower Hamlets 001B,E05009319,Bow East,E09000030,Tower Hamlets
32111,E01004224,Tower Hamlets 001C,E05009319,Bow East,E09000030,Tower Hamlets
32112,E01004225,Tower Hamlets 004A,E05009319,Bow East,E09000030,Tower Hamlets
32113,E01004226,Tower Hamlets 001D,E05009319,Bow East,E09000030,Tower Hamlets
32114,E01032764,Tower Hamlets 004E,E05009319,Bow East,E09000030,Tower Hamlets
32115,E01032765,Tower Hamlets 004F,E05009319,Bow East,E09000030,Tower Hamlets
32116,E01032784,Tower Hamlets 004G,E05009319,Bow East,E09000030,Tower Hamlets
32117,E01004228,Tower Hamlets 003A,E05009320,Bow West,E09000030,Tower Hamlets
32118,E01004229,Tower Hamlets 004C,E05009320,Bow West,E09000030,Tower Hamlets
32119,E01004230,Tower Hamlets 003B,E05009320,Bow West,E09000030,Tower Hamlets
32120,E01004231,Tower Hamlets 004D,E05009320,Bow West,E09000030,Tower Hamlets
32121,E01004232,Tower Hamlets 003C,E05009320,Bow West,E09000030,Tower Hamlets
32122,E01004233,Tower Hamlets 003D,E05009320,Bow West,E09000030,Tower Hamlets
32123,E01004234,Tower Hamlets 003E,E05009320,Bow West,E09000030,Tower Hamlets
32124,E01004235,Tower Hamlets 008A,E05009321,Bromley North,E09000030,Tower Hamlets
32125,E01004236,Tower Hamlets 008B,E05009321,Bromley North,E09000030,Tower Hamlets
32126,E01004237,Tower Hamlets 008C,E05009321,Bromley North,E09000030,Tower Hamlets
32127,E01004267,Tower Hamlets 012D,E05009321,Bromley North,E09000030,Tower Hamlets
32128,E01004268,Tower Hamlets 012E,E05009321,Bromley North,E09000030,Tower Hamlets
32129,E01004238,Tower Hamlets 008D,E05009322,Bromley South,E09000030,Tower Hamlets
32130,E01004239,Tower Hamlets 008E,E05009322,Bromley South,E09000030,Tower Hamlets
32131,E01004240,Tower Hamlets 012A,E05009322,Bromley South,E09000030,Tower Hamlets
32132,E01004241,Tower Hamlets 012B,E05009322,Bromley South,E09000030,Tower Hamlets
32133,E01004242,Tower Hamlets 012C,E05009322,Bromley South,E09000030,Tower Hamlets
32134,E01004277,Tower Hamlets 033A,E05009323,Canary Wharf,E09000030,Tower Hamlets
32135,E01004280,Tower Hamlets 032A,E05009323,Canary Wharf,E09000030,Tower Hamlets
32136,E01032770,Tower Hamlets 032B,E05009323,Canary Wharf,E09000030,Tower Hamlets
32137,E01032771,Tower Hamlets 033B,E05009323,Canary Wharf,E09000030,Tower Hamlets
32138,E01032772,Tower Hamlets 032C,E05009323,Canary Wharf,E09000030,Tower Hamlets
32139,E01004217,Tower Hamlets 030C,E05009324,Island Gardens,E09000030,Tower Hamlets
32143,E01004298,Tower Hamlets 022A,E05009332,Shadwell,E09000030,Tower Hamlets
32144,E01004218,Tower Hamlets 030D,E05009324,Island Gardens,E09000030,Tower Hamlets
32149,E01004300,Tower Hamlets 022B,E05009332,Shadwell,E09000030,Tower Hamlets
32154,E01004274,Tower Hamlets 031A,E05009324,Island Gardens,E09000030,Tower Hamlets
32155,E01004301,Tower Hamlets 025B,E05009332,Shadwell,E09000030,Tower Hamlets
32160,E01004275,Tower Hamlets 031B,E05009324,Island Gardens,E09000030,Tower Hamlets
32161,E01004302,Tower Hamlets 025C,E05009332,Shadwell,E09000030,Tower Hamlets
32166,E01004276,Tower Hamlets 031C,E05009324,Island Gardens,E09000030,Tower Hamlets
32167,E01004303,Tower Hamlets 025D,E05009332,Shadwell,E09000030,Tower Hamlets
32172,E01004281,Tower Hamlets 031D,E05009324,Island Gardens,E09000030,Tower Hamlets
32173,E01004304,Tower Hamlets 022C,E05009332,Shadwell,E09000030,Tower Hamlets
32178,E01032775,Tower Hamlets 031F,E05009324,Island Gardens,E09000030,Tower Hamlets
32179,E01004305,Tower Hamlets 022D,E05009332,Shadwell,E09000030,Tower Hamlets
32184,E01032783,Tower Hamlets 031G,E05009324,Island Gardens,E09000030,Tower Hamlets
32185,E01032769,Tower Hamlets 025F,E05009332,Shadwell,E09000030,Tower Hamlets
32191,E01004243,Tower Hamlets 020A,E05009325,Lansbury,E09000030,Tower Hamlets
32192,E01004205,Tower Hamlets 013A,E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets
32195,E01004244,Tower Hamlets 020B,E05009325,Lansbury,E09000030,Tower Hamlets
32198,E01004306,Tower Hamlets 015A,E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets
32202,E01004245,Tower Hamlets 018A,E05009325,Lansbury,E09000030,Tower Hamlets
32204,E01004307,Tower Hamlets 015B,E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets
32208,E01004246,Tower Hamlets 018B,E05009325,Lansbury,E09000030,Tower Hamlets
32210,E01004308,Tower Hamlets 015C,E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets
32214,E01004247,Tower Hamlets 020C,E05009325,Lansbury,E09000030,Tower Hamlets
32216,E01004309,Tower Hamlets 015D,E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets
32220,E01004248,Tower Hamlets 018C,E05009325,Lansbury,E09000030,Tower Hamlets
32222,E01004310,Tower Hamlets 015E,E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets
32226,E01004249,Tower Hamlets 018D,E05009325,Lansbury,E09000030,Tower Hamlets
32228,E01004283,Tower Hamlets 016A,E05009334,Stepney Green,E09000030,Tower Hamlets
32232,E01004250,Tower Hamlets 020D,E05009325,Lansbury,E09000030,Tower Hamlets
32234,E01004287,Tower Hamlets 016B,E05009334,Stepney Green,E09000030,Tower Hamlets
32264,E01004254,Tower Hamlets 023B,E05009326,Limehouse,E09000030,Tower Hamlets
32268,E01004288,Tower Hamlets 019D,E05009334,Stepney Green,E09000030,Tower Hamlets
32269,E01004255,Tower Hamlets 023C,E05009326,Limehouse,E09000030,Tower Hamlets
32273,E01004289,Tower Hamlets 016C,E05009334,Stepney Green,E09000030,Tower Hamlets
32274,E01004258,Tower Hamlets 023D,E05009326,Limehouse,E09000030,Tower Hamlets
32278,E01004322,Tower Hamlets 017A,E05009334,Stepney Green,E09000030,Tower Hamlets
32279,E01032768,Tower Hamlets 025E,E05009326,Limehouse,E09000030,Tower Hamlets
32283,E01004323,Tower Hamlets 017B,E05009334,Stepney Green,E09000030,Tower Hamlets
32284,E01004251,Tower Hamlets 023A,E05009327,Mile End,E09000030,Tower Hamlets
32310,E01004201,Tower Hamlets 002D,E05009317,Bethnal Green,E09000030,Tower Hamlets
32311,E01004324,Tower Hamlets 017C,E05009334,Stepney Green,E09000030,Tower Hamlets
32314,E01004311,Tower Hamlets 006A,E05009335,Weavers,E09000030,Tower Hamlets
32317,E01004312,Tower Hamlets 009A,E05009335,Weavers,E09000030,Tower Hamlets
32319,E01004252,Tower Hamlets 024A,E05009327,Mile End,E09000030,Tower Hamlets
32321,E01004313,Tower Hamlets 009B,E05009335,Weavers,E09000030,Tower Hamlets
32323,E01004253,Tower Hamlets 024B,E05009327,Mile End,E09000030,Tower Hamlets
32325,E01004314,Tower Hamlets 006B,E05009335,Weavers,E09000030,Tower Hamlets
32327,E01004269,Tower Hamlets 014A,E05009327,Mile End,E09000030,Tower Hamlets
32329,E01004315,Tower Hamlets 006C,E05009335,Weavers,E09000030,Tower Hamlets
32331,E01004270,Tower Hamlets 014B,E05009327,Mile End,E09000030,Tower Hamlets
32333,E01004316,Tower Hamlets 009C,E05009335,Weavers,E09000030,Tower Hamlets
32334,E01004317,Tower Hamlets 009D,E05009335,Weavers,E09000030,Tower Hamlets
32335,E01004318,Tower Hamlets 006D,E05009335,Weavers,E09000030,Tower Hamlets
32336,E01004294,Tower Hamlets 026B,E05009336,Whitechapel,E09000030,Tower Hamlets
32337,E01004295,Tower Hamlets 026C,E05009336,Whitechapel,E09000030,Tower Hamlets
32338,E01004319,Tower Hamlets 021A,E05009336,Whitechapel,E09000030,Tower Hamlets
32339,E01004321,Tower Hamlets 021C,E05009336,Whitechapel,E09000030,Tower Hamlets
32340,E01004325,Tower Hamlets 021D,E05009336,Whitechapel,E09000030,Tower Hamlets
32341,E01004326,Tower Hamlets 017D,E05009336,Whitechapel,E09000030,Tower Hamlets
32342,E01032766,Tower Hamlets 021E,E05009336,Whitechapel,E09000030,Tower Hamlets
32343,E01032767,Tower Hamlets 021F,E05009336,Whitechapel,E09000030,Tower Hamlets
32351,E01004271,Tower Hamlets 014C,E05009327,Mile End,E09000030,Tower Hamlets
32353,E01004272,Tower Hamlets 014D,E05009327,Mile End,E09000030,Tower Hamlets
32355,E01004273,Tower Hamlets 014E,E05009327,Mile End,E09000030,Tower Hamlets
32357,E01004219,Tower Hamlets 028B,E05009328,Poplar,E09000030,Tower Hamlets
32360,E01004256,Tower Hamlets 024C,E05009328,Poplar,E09000030,Tower Hamlets
32363,E01004257,Tower Hamlets 024D,E05009328,Poplar,E09000030,Tower Hamlets
32366,E01004261,Tower Hamlets 010A,E05009329,St Dunstan's,E09000030,Tower Hamlets
32369,E01004264,Tower Hamlets 010C,E05009329,St Dunstan's,E09000030,Tower Hamlets
32372,E01004284,Tower Hamlets 019A,E05009329,St Dunstan's,E09000030,Tower Hamlets
32375,E01004285,Tower Hamlets 019B,E05009329,St Dunstan's,E09000030,Tower Hamlets
32378,E01004286,Tower Hamlets 019C,E05009329,St Dunstan's,E09000030,Tower Hamlets
32384,E01004290,Tower Hamlets 016D,E05009329,St Dunstan's,E09000030,Tower Hamlets
32386,E01004291,Tower Hamlets 027A,E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets
32388,E01004292,Tower Hamlets 026A,E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets
32390,E01004293,Tower Hamlets 027B,E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets
32392,E01004296,Tower Hamlets 026D,E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets
32394,E01004297,Tower Hamlets 027C,E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets
32396,E01004197,Tower Hamlets 002A,E05009331,St Peter's,E09000030,Tower Hamlets
32398,E01004198,Tower Hamlets 002B,E05009331,St Peter's,E09000030,Tower Hamlets
32399,E01004199,Tower Hamlets 002C,E05009331,St Peter's,E09000030,Tower Hamlets
32400,E01004200,Tower Hamlets 005A,E05009331,St Peter's,E09000030,Tower Hamlets
